sku,nombre,imagen_local,supabase_url
"TC-12017","MOLDE SILICON COPO NIEVE 6 PUNTAS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TC-12017.jpg",""
"TC-619","MOLDE SILICON HOJA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TC-619.jpg",""
"906345012834","MOLDE SILICON COPOS DE NIEVE 10 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/906345012834.jpg",""
"TC-12841","MOLDE SILICON COPO DE NIEVE 12 PUNTAS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TC-12841.jpg",""
"TC-12843","MOLDE SILICON HOJA NAVIDEÑA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TC-12843.jpg",""
"906345121282","MOLDE SILICON HOJA NAVIDEÑA 3 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/906345121282.jpg",""
"070896094810","MOLDE SILICON BARRA CHOCOLATE 5 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/070896094810.jpg",""
"SIL001082","MOLDE SILI PALETAS MITAD ONDAS 4 CAV 3x6x2cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001082.jpg",""
"SIL00000005","MOLDE SILI MAGDALENA 9 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL00000005.jpg",""
"HGH00007","MOLDE SILICON CTRO CORAZON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGH00007.jpg",""
"HGH00008","MOLDE SILICON GDE GEO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGH00008.jpg",""
"HGH00009","MOLDE SILICON OSO Y CORAZON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGH00009.jpg",""
"4-2619","MOLDE PALETA SILICON CORAZON 2 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-2619.jpg",""
"M2105-0539","MOLDE PALETA "POPS" FLOR (4 CAV)","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/M2105-0539.jpg",""
"1-121","MOLDE AA MUFFIN 12 CAV (7X3 cm) 34X26X3cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/1-121.jpg",""
"TC-G018","MOLDE ESPIRAL","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TC-G018.jpg",""
"2105-6184","MOLDE CORAZON 9 PULG","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/2105-6184.jpg",""
"2105-4824","MOLDE CORAZON ROJO 2.5 X 1.25" SIL 6 CAVIDADES","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/2105-4824.jpg",""
"2504-1200","MOLDE CHEESE CAKE SILICON 8 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/2504-1200.jpg",""
"HGH00005","MOLDE SIL CORAZON GEO 6CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGH00005.jpg",""
"4-1678","MOLDE SILI CORAZON DIMENSIONAL","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-1678.jpg",""
"SIL000621","MOLDE SILI FLOR CATARINA MARIPOSA 6 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL000621.jpg",""
"SIL00000754","MOLDE SILI HUEVO PASCUA BLANCO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL00000754.jpg",""
"SIL001103","MOLDE SILI PALETA ESFERA Ø5cm 4 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001103.jpg",""
"5-5257","MOLDE SILI HUEVOS PASCUA CAFÉ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5-5257.jpg",""
"5-5265","MOLDE SILI MARGARITA, TULIPAN CAFÉ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5-5265.jpg",""
"SIL001052","MOLDE SILI CORAZON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001052.jpg",""
"SIL001009","MOLDE SILI BUNDT 24X11CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001009.jpg",""
"4-1788","MOLDE SILI LOLLIPOP FLOR  4CAV + 20PALILL","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-1788.jpg",""
"SIL001130","MOLDE SILI CORAZON DIAMANTADO 1cav 21x20x5cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001130.jpg",""
"21-819","MOLDE SILI ROSCA FANTASIA(7X3cm-40/230c) TCH*","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/21-819.jpg",""
"SIL001066","MOLDE DE SILICON SIRENA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001066.jpg",""
"000697154040 640","MOLDE SIL HUEVO PASCUA AQUA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/000697154040 640.jpg",""
"888556166766","MOLDE SIL HUEVO MORADO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/888556166766.jpg",""
"SILBARRA6CAV","BARRA SILICON CAFE 6 CAVIDADES","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SILBARRA6CAV.jpg",""
"63-224","MOLDE SILICON BANNER ALFABETO 28 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/63-224.jpg",""
"SIL001139","MOLDE SILI CORAZON DIAMANTADO 8cav 6x6x2cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001139.jpg",""
"SIL001168","MOLDE SILI ROSAS Ø7cMOLDE 6cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001168.jpg",""
"SIL001170","MOLDE SILI ALFABETO MAYUSCULAS 26cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001170.jpg",""
"SIL001193","MOLDE SILI NUMEROS 2.6x4.5x2cMOLDE 10cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001193.jpg",""
"SIL001140","JGO MOLDE SILI CORAZON DIAMOLDE ALFAB C/MAZO 7pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001140.jpg",""
"SIL001141","MOLDE SILI CORAZÓN DIAMANT 6cav C/MAZO 3pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001141.jpg",""
"SIL001142","MOLDE SILI MEDIA ESFERA Ø7cMOLDE 6cav C/MAZO 3pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001142.jpg",""
"SIL001144","MOLDE SILI CORAZON 6.5x5.7x2.5cMOLDE 8cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001144.jpg",""
"SIL001147","MOLDE SILI CORAZON ROTO 3x2.5x1.3cMOLDE 15cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001147.jpg",""
"SIL001149","MOLDE SILI MEDIA ESFERA RISADO Ø2.8cMOLDE 15cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001149.jpg",""
"SIL001152","MOLDE SILI ESTRELLA 2.8x2.8x1.4cMOLDE 15cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001152.jpg",""
"SIL001154","MOLDE SILI FLORES Ø2.9cMOLDE 15cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001154.jpg",""
"SIL001155","SILI ESTRELLAS 2.5x2.5x1.5cm 15cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001155.jpg",""
"SIL001157","MOLDE SILI ROSAS Ø2.9cMOLDE 15cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001157.jpg",""
"SIL001165","MOLDE SILI MARGARITA 2.8x2.8x1.2cMOLDE 15cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001165.jpg",""
"SIL001167","MOLDE SILI CORAZON 3x2.5x1.5cMOLDE 15cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001167.jpg",""
"SIL001175","MOLDE SILI CUPULA Ø2.7cMOLDE 15cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001175.jpg",""
"SIL001183","MOLDE SILI CORAZONES BOLA 5x5x2cMOLDE 15cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001183.jpg",""
"SIL001186","MOLDE SILI BARRA DE CHOCOLATE CORAZONES MINI","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001186.jpg",""
"SIL001188","MOLDE SILI BARRA DE CHOCO 2x2x0.7cMOLDE 18cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001188.jpg",""
"SIL001191","MOLDE SILI OCTAGONO DIAMANTADO 6x6x4cMOLDE 6cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001191.jpg",""
"6988202280229","MINI BROCHA SILICON VARIOS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/6988202280229.jpg",""
"6924542391003","ESPATULA PLASTICA AMARILLA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/6924542391003.jpg",""
"CS022","ESTENCIL SILICON ROSA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CS022.jpg",""
"1426177","GUANTE DE SILICON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/1426177.jpg",""
"CTR000603","JGO CORTA AINOX COLA SIRENA 14/11/8cm3pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000603.jpg",""
"CTR000425","JGO CORTA METAL FLORES 4 pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000425.jpg",""
"CTR000422","JGO CORTA METAL MARIPOSAS 5 pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000422.jpg",""
"493240303442","CORTADORES CIRCULARES 3 PZAS MAGNOLIA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/493240303442.jpg",""
"CTR000578","JGO CORTA AINOX CALAVERITA 13.5cm 3pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000578.jpg",""
"CTR000590","JGO CORTA AINOX FANTASMA 16/13/9.5cm 3pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000590.jpg",""
"CTR000580","JGO CORTA AINOX CALACA 3pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000580.jpg",""
"4-2854","CORTADOR CONTORNO MUÑECO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-2854.jpg",""
"CTR000606","JGO CORTA AINOX CALIZ 13/11/8.5cm 3pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000606.jpg",""
"CTR000663","CORTA AINOX CONO DE HELADO 9.7x6cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000663.jpg",""
"CTR000632","JGO CORTA AINOX PETALOS FLOR 3pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000632.jpg",""
"4-2362","JGO CORTADOR METAL HOJA 3 PZAS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-2362.jpg",""
"5-5281","JGO CORTADOR METAL FLORES Y HOJAS 12 PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5-5281.jpg",""
"CTR000625","JGO CORTA AINOX CRUCES 3PZS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000625.jpg",""
"2308-3341","SET CORTADOR CORAZON Y FLECHA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/2308-3341.jpg",""
"TOL000944","JGO CORTA PLAST CASA JENGIBRE 8 pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TOL000944.jpg",""
"4-2403","JGO CORTADOR PLAST ALFABETO 40pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-2403.jpg",""
"CTR000570","JGO CORTA PLAST ABECEDARIO MAYUS 26pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000570.jpg",""
"CTR000575","JGO CORTA PLAST ABECEDARIO "FUN" 26pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000575.jpg",""
"4-1128","SET CORTADOR/GALLETA REDONDO/RIZ 6PZS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-1128.jpg",""
"TOL000869","JGO CORTA PLAST DINOSARIOS BEBE 8 pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TOL000869.jpg",""
"CTR000545","JGO CORTA PLAST FUTBOL SOCCER 8pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000545.jpg",""
"CTR000424","JGO CORTA METAL UNICORNIO CORONA 5 pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000424.jpg",""
"63-078","JGO CORTADOR EYECTOR HOJA 3 PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/63-078.jpg",""
"TOL000941","JGO CORTA PLAST ACCESORIOS BEBE 9 pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TOL000941.jpg",""
"63-080","JGO CORTADOR EYECTOR HOJA 3 PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/63-080.jpg",""
"63-086","JGO CORTADOR EYECTOR FLOR 5 PETALOS 4 PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/63-086.jpg",""
"CTR000547","JGO CORTA PLAST FLORES Ø0.9-2.5cm 10pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000547.jpg",""
"OTS000163","JGO CORTA METAL C/AGARRADERA REDONDO 3pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/OTS000163.jpg",""
"4-1965","JGO CORTADOR MEDALLON 2 PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-1965.jpg",""
"TOL000939","JGO CORTA PLAST ACCESORIOS BEBE 7 pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TOL000939.jpg",""
"CTR00000090","CORTADOR AINOX CORONA 17X13.5 CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR00000090.jpg",""
"CTR00000041","CORTADOR AINOX VESTIDO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR00000041.jpg",""
"CTR00000006","CORTADOR AINOX REGALO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR00000006.jpg",""
"CTR00000089","CORTADOR AINOX MARIPOSA 17X13 CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR00000089.jpg",""
"TOL000874","JGO CORTA PLAST CIRCULO 6pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TOL000874.jpg",""
"TOL000876","JGO CORTA PLAST CUADROS 6 pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TOL000876.jpg",""
"TOL000877","JGO CORTA PLAST CORAZON 6 pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TOL000877.jpg",""
"TOL000895","JGO CORTA EYECTOR FLORES 4 pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TOL000895.jpg",""
"63-108","JGO CORTA EYEC PASCUA  4 pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/63-108.jpg",""
"CTR000574","JGO CORTA PLAST NUMEROS Y SIGNOS 15pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000574.jpg",""
"CTR000311","JGO CORTA EYECTOR FLOR HOJA ESTRELLA 3PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000311.jpg",""
"4-1173","CONTADOR/EYECTOR PALOMAS 3PZAS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-1173.jpg",""
"TOL0000870","JGO CORTA PLAST GALLETA JENGIBRE 4 pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TOL0000870.jpg",""
"TOL00000076","JGO CORTADOR EYECTOR DULCE CUPCAKE 4 PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TOL00000076.jpg",""
"666661680371","JGO CORTA EYEC VARIOS 5PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661680371.jpg",""
"666661680370","JGO CORTA EYEC FLOR 3PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661680370.jpg",""
"666661680369","JGO CORTA EYEC CORAZON 3PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661680369.jpg",""
"HGCH0010","JGO CORTA EYECTOR MARIPOSA 3PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH0010.jpg",""
"545","CORTADOR EYECTOR FLOR CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/545.jpg",""
"888881690451","EYECTOR HOJAS 8pz 90451","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/888881690451.jpg",""
"4895217129257","CORTADOR AINOX FANTASMA 12cm 3pz CTR0591","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4895217129257.jpg",""
"070896383129","CORTADOR GATO 8.5cm 2308-1302","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/070896383129.jpg",""
"344151","CORTADOR AINOX MUERDAGO 9.5CMX6CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/344151.jpg",""
"4-2842","CORTADOR GALLETA ARBOL NAVIDEÑO COBRE","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-2842.jpg",""
"4-2423","CORTADOR CUADRADO AINOX","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-2423.jpg",""
"63-141","JGO CORTADOR PLAST FLOR CORAZON ESTRE 8PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/63-141.jpg",""
"4-2014","JGO CORTADORES CORAZONES ESTRELLAS 6PZAS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-2014.jpg",""
"5-5168","JGO CORTADOR EYECTOR PASCUA 4 PZAS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5-5168.jpg",""
"63-142","JGO CORTADOR EYECTOR MOÑOS 3 PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/63-142.jpg",""
"TOL000861","JGO CORTA PLAST ARBOL CORONA MANZANA 6pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/TOL000861.jpg",""
"CTR000559","JGO CORTA EYECTOR PLAST AZUL CIRCULO 3pz","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CTR000559.jpg",""
"6976170438308","SET DE 10 CORTADORES PARA GALLETA CASA NAVIDAD 3D AI","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/6976170438308.jpg",""
"DTM459","CORTADOR EYECTOR HOJA CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/DTM459.jpg",""
"4-0305","CORTADOR EYECTOR PLAST CORAZON DOBLE","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-0305.jpg",""
"4-0307","CORTADOR EYECTOR PLAST CORAZON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-0307.jpg",""
"CE-BCS-HX4 5","JGO CORTADOR CORAZON FLECHADO, PALOMA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CE-BCS-HX4 5.jpg",""
"0126 52151625 4-2440","CORTADOR DE GALLETA LOVE","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/0126 52151625 4-2440.jpg",""
"63-144","JGO CORTADOR ANGEL/ARBOL NAV/SANTA 3PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/63-144.jpg",""
"5-5148","CORTADOR PLAST CORAZON CENTRO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5-5148.jpg",""
"6992216464315","FLAMEADOR","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/6992216464315.jpg",""
"5005","MECHERO NEGRO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5005.jpg",""
"666661686017","MECHERO MOD-800","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661686017.jpg",""
"5005","MECHERO NEGRO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5005.jpg",""
"853195000986","MECHERO NEON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/853195000986.jpg",""
"700818121802","FLAMEADOR WILTON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/700818121802.jpg",""
"855553008405","GAS BUTANO NEON 18ML","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/855553008405.jpg",""
"7501409600013","GAS BUTANO 270ML","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/7501409600013.jpg",""
"5004","MECHERO ROJO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5004.jpg",""
"5007","MECHERO PROFESIONAL C/SUPER FLAMA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5007.jpg",""
"7501409600011","GAS BUTANO 170 ML","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/7501409600011.jpg",""
"7501409600012","GAS BUTANO 500 ML","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/7501409600012.jpg",""
"070896043528","JUEGO DE 5 BROCHAS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/070896043528.jpg",""
