nombre,descripcion,precio,departamento,categoria,clave1,clave2,codigo_sat,disponible,destacado,temporada
CAPACILLO STD BALON FUTBOL 100pz,CAPACILLO STD BALON FUTBOL 100pz,60.0,Capacillos,Papel,4-3181,7501553431813,52151907,True,False,False
CAPACILLO STD LOVE YOU & ME 100pz,CAPACILLO STD LOVE YOU & ME 100pz,60.0,Capacillos,Papel,4-2732,7501553427328,52151907,True,False,False
CAPACILLO STD LOVE CORAZONES 100pz,CAPACILLO STD LOVE CORAZONES 100pz,60.0,Capacillos,Papel,4-3153,7501553431530,52151907,True,False,False
CAPACILLO STD I LOVE YOU C/CORAZON 100pz,CAPACILLO STD I LOVE YOU C/CORAZON 100pz,60.0,Capacillos,Papel,4-2315,7501553423153,52151907,True,False,False
CAPACILLO STD CORAZONES BORDADOS 100pz,CAPACILLO STD CORAZONES BORDADOS 100pz,60.0,Capacillos,Papel,4-2733,7501553427335,52151907,True,False,False
CAPACILLO STD PALETA DE CORAZON 100pz,CAPACILLO STD PALETA DE CORAZON 100pz,60.0,Capacillos,Papel,4-3114,7501553431141,52151907,True,False,False
CAPACILLO STD CORAZON CONCENTRICO 100pz,CAPACILLO STD CORAZON CONCENTRICO 100pz,60.0,Capacillos,Papel,4-3171,7501553431714,52151907,True,False,False
CAPACILLO STD CORAZONES HUELLA 100pz,CAPACILLO STD CORAZONES HUELLA 100pz,60.0,Capacillos,Papel,4-3369,7501553431691,52151907,True,False,False
CAPACILLO STD CORAZON MORADO/ROS 50pz,CAPACILLO STD CORAZON MORADO/ROS 50pz,40.0,Capacillos,Papel,4-3116/50A R,7501553803795,52151907,True,False,False
CAPACILLO RUFFLED ROJO 24pz,CAPACILLO RUFFLED ROJO 24pz,54.0,Capacillos,Papel,415-1391,070896513915,52151907,True,False,False
CAPACILLO STD BEIGE 75pz,CAPACILLO STD BEIGE 75pz,35.0,Capacillos,Papel,415-1864,70896318640,52151907,True,False,False
CAPACILLO CORRUFACIL BLANCO NUM 72 500pz,CAPACILLO CORRUFACIL BLANCO NUM 72 500pz,110.0,Capacillos,Papel,HGCAP72BCO,HGCAP72BCO,50181709,True,False,False
MOLDE PANETONE 15X14CM 25pz,MOLDE PANETONE 15X14CM 25pz,340.0,Capacillos,Papel,P0008,P0008,50181709,True,False,False
MOLDE PANETONE 15X14CM,MOLDE PANETONE 15X14CM,15.0,Capacillos,Papel,P0009,P0009,50181709,True,False,False
CAPACILLO STD TONOS NAVIDEÑOS 150pz,CAPACILLO STD TONOS NAVIDEÑOS 150pz,250.0,Capacillos,Papel,415-5387,070896453877,52151900,True,False,False
JGO CAPACILLO MINI NAVIDAD 150PZ,JGO CAPACILLO MINI NAVIDAD 150PZ,150.0,Capacillos,Papel,191006485,070896320865,52151900,True,False,False
JGO CAPACILLOS STD SOLDADO CARAMELO 75pz,JGO CAPACILLOS STD SOLDADO CARAMELO 75pz,70.0,Capacillos,Papel,415-0-0376,70896093677,52151900,True,False,False
CAPACILLO STD BIGOTE-PIPA 100pz,CAPACILLO STD BIGOTE-PIPA 100pz,60.0,Capacillos,Papel,4-2316,7501553423160,52151907,True,False,False
CAPACILLO STD CORBATA BIGOTE 100pz,CAPACILLO STD CORBATA BIGOTE 100pz,60.0,Capacillos,Papel,4-3151,7501553431516,52151907,True,False,False
CAPACILLO STD ONDULADO CORAZON 100 PZ,CAPACILLO STD ONDULADO CORAZON 100 PZ,54.0,Capacillos,Papel,4-2730,7501553427304,52151907,True,False,False
CAPACILLO STD CORAZON ROJO/ROSA/MORADO 100pz,CAPACILLO STD CORAZON ROJO/ROSA/MORADO 100pz,54.0,Capacillos,Papel,4-3115,7501553431158,52151907,True,False,False
CAPACILLO MED ROJO 50pz,CAPACILLO MED ROJO 50pz,62.0,Capacillos,Papel,BCP000340,4895217155126,52151907,True,False,False
CAPACILLO STD COPOS MERRY CHRISTMAS100pz,CAPACILLO STD COPOS MERRY CHRISTMAS100pz,60.0,Capacillos,Papel,3190,7501553431905,52151907,True,False,False
CAPACILLO STD NOCHE BUENA MUERDAGO 100pz,CAPACILLO STD NOCHE BUENA MUERDAGO 100pz,60.0,Capacillos,Papel,3158,7501553431585,52151907,True,False,False
CAPACILLO STD ESTRELLAS MERRY XMAS 100pz,CAPACILLO STD ESTRELLAS MERRY XMAS 100pz,60.0,Capacillos,Papel,BCP000365,4895217156734,52151907,True,False,False
CAPACILLO STD MUERDAGOS HOJAS 100pz,CAPACILLO STD MUERDAGOS HOJAS 100pz,60.0,Capacillos,Papel,3182,3182,52151907,True,False,False
CAPACILLO STD COPOS OCRE 100pz,CAPACILLO STD COPOS OCRE 100pz,60.0,Capacillos,Papel,BCP000371,4895217156796,52151907,True,False,False
CAPACILLO STD COPOS GRISES 100pz,CAPACILLO STD COPOS GRISES 100pz,60.0,Capacillos,Papel,BCP000373,4895217156819,52151907,True,False,False
CAPACILLO STD MUERDAGOS HOJAS 100pz,CAPACILLO STD MUERDAGOS HOJAS 100pz,65.0,Capacillos,Papel,4-3187,7501553431875,52151907,True,False,False
CAPACILLO STD NOCHE BUENA MUERDAGO 100pz,CAPACILLO STD NOCHE BUENA MUERDAGO 100pz,65.0,Capacillos,Papel,4-3158,4-3158,52151907,True,False,False
CAPACILLO STD PINOS FDO VERDE 100pz,CAPACILLO STD PINOS FDO VERDE 100pz,65.0,Capacillos,Papel,4-3191,7501553431912,52151907,True,False,False
CAPACILLO CLASICO METALIZADO 40PZ,CAPACILLO CLASICO METALIZADO 40PZ,35.0,Capacillos,Papel,70896164480,70896164480,52151900,True,False,False
CAPACILLO STD TELARAÑA DORADA CON 24pz,CAPACILLO STD TELARAÑA DORADA CON 24pz,125.0,Capacillos,Papel,070896138897,070896138897,52151900,True,False,False
CAPACILLO STD FANTASMA CON 75pz,CAPACILLO STD FANTASMA CON 75pz,70.0,Capacillos,Papel,070896372864,070896372864,52151900,True,False,False
CAPACILLO WALLOWEEN MICKEY,CAPACILLO WALLOWEEN MICKEY,50.0,Capacillos,Papel,7504310265324,7504310265324,50181709,True,False,False
CAPACILLO DIA DE MUERTOS,CAPACILLO DIA DE MUERTOS,50.0,Capacillos,Papel,7504310460118,7504310460118,50181709,True,False,False
CAPACILLO STD NIÑO JENGIBRE 75pz,CAPACILLO STD NIÑO JENGIBRE 75pz,70.0,Capacillos,Papel,070896044815,070896044815,52151900,True,False,False
CAPACILLO MED PLATA  40pz,CAPACILLO MED PLATA  40pz,55.0,Capacillos,Papel,HGCAP00298,HGCAP00298,52151907,True,False,False
CAPACILLO MED PLATA  40pz,CAPACILLO MED PLATA  40pz,55.0,Capacillos,Papel,HGCAP00298,HGCAP00298,52151907,True,False,False
CAPACILLO STD ROSA METÁLICO 50pz,CAPACILLO STD ROSA METÁLICO 50pz,60.0,Capacillos,Papel,4-2277,7501553422774,52151907,True,False,False
CAPACILLO STD POLKA NEGRO 100pz,CAPACILLO STD POLKA NEGRO 100pz,54.0,Capacillos,Papel,4-2709,7501553427090,52151900,True,False,False
CAPACILLO STD POLKA ROSA BABY 100pz,CAPACILLO STD POLKA ROSA BABY 100pz,54.0,Capacillos,Papel,4-2712,7501553427120,52151907,True,False,False
CAPACILLO STD MORADO 100pz,CAPACILLO STD MORADO 100pz,54.0,Capacillos,Papel,4-3103,7501553431035,52151907,True,False,False
CAPACILLO STD VERDE 100pz,CAPACILLO STD VERDE 100pz,54.0,Capacillos,Papel,4-3106,7501553431066,52151907,True,False,False
CAPACILLO STD NEGRO METAL 50pz,CAPACILLO STD NEGRO METAL 50pz,60.0,Capacillos,Papel,4-2742,7501553427427,52151900,True,False,False
CAPACILLO NO.5 CAFE/PLATA FLORES 250pz,CAPACILLO NO.5 CAFE/PLATA FLORES 250pz,130.0,Capacillos,Papel,4-0750,7501553407504,52151907,True,False,False
CAPACILLO PETALO CAFE 100pz,CAPACILLO PETALO CAFE 100pz,120.0,Capacillos,Papel,PPR001536,4895217153344,52151900,True,False,False
CAPACILLO MINI COLOR CRUDO PAPEL C/100pz,CAPACILLO MINI COLOR CRUDO PAPEL C/100pz,85.0,Capacillos,Papel,070896318657,070896318657,52151900,True,False,False
CAPACILLO STD FUTBOL SOCCER PAPEL C/75pz,CAPACILLO STD FUTBOL SOCCER PAPEL C/75pz,78.0,Capacillos,Papel,415-296,70896452962,52151900,True,False,False
CAPACILLO ROJO CHINO PAQ/1000pz,CAPACILLO ROJO CHINO PAQ/1000pz,225.0,Capacillos,Papel,12006,E L02024,50181709,True,False,False
CAPACILLO ROJO SV 25pz,CAPACILLO ROJO SV 25pz,30.0,Capacillos,Papel,HGL02024,HGL02025,50181709,True,False,False
CAPACILLO CORRUFACIL ROJO NUM 72 500pz,CAPACILLO CORRUFACIL ROJO NUM 72 500pz,110.0,Capacillos,Papel,HGCAP72ROJO,HGCAP72ROJO,50181709,True,False,False
CAPACILLO STD NEGRO 100pz,CAPACILLO STD NEGRO 100pz,54.0,Capacillos,Papel,4-2778,7501553427786,52151907,True,False,False
CAPACILLO STD ROSA 100pz,CAPACILLO STD ROSA 100pz,54.0,Capacillos,Papel,4-3102,7501553431028,52151907,True,False,False
CAPACILLO STD AZUL REY 100pz,CAPACILLO STD AZUL REY 100pz,54.0,Capacillos,Papel,4-3104,7501553431042,52151907,True,False,False
CAPACILLO STD AZUL 100pz,CAPACILLO STD AZUL 100pz,54.0,Capacillos,Papel,4-3105,7501553431059,52151907,True,False,False
CAPACILLO STD ROSA PASTEL 100pz,CAPACILLO STD ROSA PASTEL 100pz,54.0,Capacillos,Papel,4-3108,7501553431080,52151907,True,False,False
CAPACILLO STD LILA 100pz,CAPACILLO STD LILA 100pz,54.0,Capacillos,Papel,4-3109,7501553431097,52151907,True,False,False
CAPACILLO STD AZUL PASTEL 100pz,CAPACILLO STD AZUL PASTEL 100pz,54.0,Capacillos,Papel,4-3110,7501553431103,52151907,True,False,False
CAPACILLO STD POLKA DOT NARANJA 100pz,CAPACILLO STD POLKA DOT NARANJA 100pz,54.0,Capacillos,Papel,4-2713,7501553427137,52151907,True,False,False
CAPACILLO STD DORADO METÁLICO 50pz,CAPACILLO STD DORADO METÁLICO 50pz,64.0,Capacillos,Papel,4-2275,7501553422750,52151907,True,False,False
CAPACILLO MED DORADO 50pz,CAPACILLO MED DORADO 50pz,62.0,Capacillos,Papel,4-2722,7501553427229,52151907,True,False,False
CAPACILLO JUMBO 90pz,CAPACILLO JUMBO 90pz,60.0,Capacillos,Papel,HGCAP0043,HGCAP0043,52151907,True,False,False
CAPACILLO STD PLATEADO 80pz,CAPACILLO STD PLATEADO 80pz,70.0,Capacillos,Papel,HGCAP0042,HGCAP0042,52151900,True,False,False
CAPACILLO STD DORADO 80pz,CAPACILLO STD DORADO 80pz,70.0,Capacillos,Papel,HGCAP0052,HGCAP0052,52151900,True,False,False
CAPACILLO MED ROJO 500pz,CAPACILLO MED ROJO 500pz,60.0,Capacillos,Papel,4-0902,7501553409027,52151907,True,False,False
CAPACILLO CORRUFACIL ROJO NUM 4 PTE 400pz,CAPACILLO CORRUFACIL ROJO NUM 4 PTE 400pz,55.0,Capacillos,Papel,13602,13602,50181709,True,False,False
CAPACILLO STD CORAZON BCO/ROJO 100pz,CAPACILLO STD CORAZON BCO/ROJO 100pz,54.0,Capacillos,Papel,4-3113,7501553431134,52151907,True,False,False
CAPACILLO STD  +x+x+x+x 100pz,CAPACILLO STD  +x+x+x+x 100pz,54.0,Capacillos,Papel,4-1944,7501553419446,52151907,True,False,False
CAPACILLO STD DORADO METALICO PAPEL C/24pz,CAPACILLO STD DORADO METALICO PAPEL C/24pz,59.0,Capacillos,Papel,070896415264,070896415264,52151900,True,False,False
CAPACILLO STD PLATEADO METALICO PAPEL C/24pz,CAPACILLO STD PLATEADO METALICO PAPEL C/24pz,59.0,Capacillos,Papel,070896415271,070896415271,52151900,True,False,False
CAPACILLO STD PLATATEADO C/1000pz,CAPACILLO STD PLATATEADO C/1000pz,720.0,Capacillos,Papel,190353201242,190353201242,52151900,True,False,False
CAPACILLO STD DORADO C/1000pz,CAPACILLO STD DORADO C/1000pz,480.0,Capacillos,Papel,190353201252,190353201252,52151900,True,False,False
CAPACILLO CORRUFACIL BLANCO NUM 4 PTE 400pz,CAPACILLO CORRUFACIL BLANCO NUM 4 PTE 400pz,55.0,Capacillos,Papel,10066,10066,50181709,True,False,False
CAPACILLO STD ROJO 100pz,CAPACILLO STD ROJO 100pz,54.0,Capacillos,Papel,4-2310,7501553423108,52151907,True,False,False
CAPACILLO STD POLKA DOT AZUL CIELO 100pz,CAPACILLO STD POLKA DOT AZUL CIELO 100pz,54.0,Capacillos,Papel,4-2707,7501553427076,52151907,True,False,False
CAPACILLO STD POLKA DOT FUCSA 100pz,CAPACILLO STD POLKA DOT FUCSA 100pz,54.0,Capacillos,Papel,4-2704,7501553427045,52151907,True,False,False
CAPACILLO STD ROJO-ROSA-BLANCO PLISADO PAPEL C/15,CAPACILLO STD ROJO-ROSA-BLANCO PLISADO PAPEL C/15,26.0,Capacillos,Papel,415-1489,070896514899,52151900,True,False,False
CAPACILLO STD DORADO C/100pz,CAPACILLO STD DORADO C/100pz,103.0,Capacillos,Papel,320-1243,190353201243,52151900,True,False,False
CAPACILLO STD REMOLINO FIESTA C/75pz,CAPACILLO STD REMOLINO FIESTA C/75pz,65.0,Capacillos,Papel,415-7768,070896077684,52151900,True,False,False
CAPACILLO STD CARAMELO C/75pz,CAPACILLO STD CARAMELO C/75pz,65.0,Capacillos,Papel,415-0-0377,070896093684,52151900,True,False,False
CAPACILLO FELICES FIESTAS C/75pz,CAPACILLO FELICES FIESTAS C/75pz,65.0,Capacillos,Papel,415-0-0381,070896093721,52151900,True,False,False
CAPACILLO STD ROJO ENCAJE BLANCO C/48pz,CAPACILLO STD ROJO ENCAJE BLANCO C/48pz,134.0,Capacillos,Papel,415-0660,070896006608,52151900,True,False,False
CAPACILLO STD VERDE ENCAJE BLANCO C/48pz,CAPACILLO STD VERDE ENCAJE BLANCO C/48pz,134.0,Capacillos,Papel,415-0662,070896006622,52151900,True,False,False
CAPACILLO STD UNICORNIO C/75pz,CAPACILLO STD UNICORNIO C/75pz,70.0,Capacillos,Papel,415-0-0504,070896129864,52151600,True,False,False
CAPACILLO STD COLORES PASTEL PAPEL C/75pz,CAPACILLO STD COLORES PASTEL PAPEL C/75pz,64.0,Capacillos,Papel,415-394,070896153944,52151900,True,False,False
