clave1 *,clave2,descripción *,departamento,categoria,(s/n) inventariable,unidad,costo,precio1,(s/n) precio con impuestos,(s/n) imp IVA (8%),(s/n) imp IVA (16%),(s/n) granel,existencia,,
HG2025,HG2025,ESPATULA  SILICON NEGRA,Herramientas,Silicon,SI,Pieza,,, $100.00 ,,,,,,52151616
HG2026,HG2026,ESPATULA CUCHARA SILICON NEGRA,Herramientas,Silicon,SI,Pieza,,, $120.00 ,,,,,,52151616
HG2027,HG2027,ESPATULA MINI SILICON NEGRA,Herramientas,Silicon,SI,Pieza,,, $90.00 ,,,,,,52151616
HG2028,HG2028,ESPATULA CUCHILLO SILICON NEGRA,Herramientas,Silicon,SI,Pieza,,, $100.00 ,,,,,,52151616
4246,4246,ESPATULA SILICON TIPO CUCHILLO,Herramientas,Silicon,SI,Pieza,,, $75.00 ,,,,,,52151616
6988202280281,6988202280281,"MANGA P/DECO PLAST 14""1PZ",Herramientas,Mangas,SI,Pieza,,, $50.00 ,,,,,,48101817
2104-1249 ,070896242495,"MANGA DESECHABLE 12"" C/100",Herramientas,Mangas,SI,Paquete,,, $706.00 ,,,,,,52151500
HGH00015,HGH00015,MANGA ALEGRIA 100PZ 27CM,Herramientas,Mangas,SI,Paquete,,, $250.00 ,,,,,,48101817
HGH00016,HGH00016,MANGA ALEGRIA 100PZ 30CM,Herramientas,Mangas,SI,Paquete,,, $250.00 ,,,,,,48101817
HGH00017,HGH00017,MANGA ALEGRIA 100PZ 34CM,Herramientas,Mangas,SI,Paquete,,, $250.00 ,,,,,,48101817
666661680641,666661680641,MANGA ECONOMICA CHICA 1pz,Herramientas,Mangas,SI,Pieza,,, $1.50 ,,,,,,52151500
HGMAN001,HGMAN001,MANGA ECONOMICA CHICA 100pz,Herramientas,Mangas,SI,Paquete,,, $120.00 ,,,,,,52151500
666661680643,666661680643,MANGA ECONOMICA GRANDE 1pz,Herramientas,Mangas,SI,Pieza,,, $1.50 ,,,,,,52151500
HGMAN002,HGMAN002,MANGA ECONOMICA GRANDE 100pz,Herramientas,Mangas,SI,Paquete,,, $120.00 ,,,,,,52151500
TOL000844,4895217106760,BOLSA P/DECORAR PLAST 30cm 12pz,Herramientas,Mangas,SI,Paquete,,, $51.00 ,,,,,,48101817
B10,B10,BOLSA REUSABLE PARA DECORAR NO. 10,Herramientas,Mangas,SI,Pieza,,, $55.00 ,,,,,,48101817
B12,B12,BOLSA REUSABLE PARA DECORAR NO. 12,Herramientas,Mangas,SI,Pieza,,, $84.00 ,,,,,,48101817
B16,B16,BOLSA REUSABLE PARA DECORAR NO. 16,Herramientas,Mangas,SI,Pieza,,, $130.00 ,,,,,,48101817
B18,7501553780607,BOLSA REUSABLE PARA DECORAR NO. 18,Herramientas,Mangas,SI,Pieza,,, $140.00 ,,,,,,48101817
B21,B21,BOLSA REUSABLE PARA DECORAR NO. 21,Herramientas,Mangas,SI,Pieza,,, $150.00 ,,,,,,48101817
TOL001066,TOL001066,JGO ACOPLADOR PLAST BLANCO Ø2cm 5pz,Herramientas,Coples,SI,Set,,, $46.00 ,,,,,,48101817
41673,TOL000847,"MANGA GRUESA DESECHABLE 16"" 1PZ",Herramientas,Mangas,SI,Pieza,,, $5.00 ,,,,,,48101817
TOL000835,4895217104780,"MANGA DESECHABLE 10.5"" 1pz ALEGRIA",Herramientas,Mangas,SI,Pieza,,, $3.00 ,,,,,,48101817
TOL000836,4895217104797,"MANGA DESECHABLE 12"" 1pz ALEGRIA",Herramientas,Mangas,SI,Pieza,,, $3.00 ,,,,,,48101817
TOL000837,4895217104803,"MANGA DESECHABLE 14"" 1pz ALEGRIA ",Herramientas,Mangas,SI,Pieza,,, $3.00 ,,,,,,48101817
7501553416728,7501553416728,BOLSA P/DECORAR PLAST 30cm 1pz,Herramientas,Mangas,SI,Pieza,,, $5.00 ,,,,,,48101817
700894046014,700894046014,"MANGA DESECHABLE 14"" CON 100 PIEZAS",Herramientas,Mangas,SI,Paquete,,, $300.00 ,,,,,,52151500
HGMAN003,HGMAN003,MANGA ECONOMICA CHICA 50pz,Herramientas,Mangas,SI,Paquete,,, $60.00 ,,,,,,48101817
4-0392,7501553403926,BOLSA PARA DECORAR No.12/30cm (Japon),Herramientas,Mangas,SI,Paquete,,, $84.00 ,,,,,,48101817
4-1672,4-1672,BOLSA P/DECORAR PLAST 30cm 100pz,Herramientas,Mangas,SI,Paquete,,, $330.00 ,,,,,,48101817
4-1673,4-1673,BOLSA P/DECORAR NO.16 40cm 100pz,Herramientas,Mangas,SI,Paquete,,, $360.00 ,,,,,,48101817
7501553416735,7501553416735,BOLSA P/DECORAR PLAST 40cm 1pz,Herramientas,Mangas,SI,Pieza,,, $5.00 ,,,,,,48101817
8996042125448,8996042125448,MANGA DESECHABLE 18CM C/50 PZ,Herramientas,Mangas,SI,Paquete,,, $280.00 ,,,,,,52151500
700894043014,700894043014,"MANGA DESECHABLE 14"" CON 12 PIEZAS",Herramientas,Mangas,SI,Paquete,,, $65.00 ,,,,,,52151500
4041012,700764041012,"MANGA DESECHABLE 12"" ROLLO C/100 PZAS",Herramientas,Mangas,SI,Paquete,,, $450.00 ,,,,,,52151600
4041016,4041016,"MANGA DESECHABLE 16"" ROLLO C/100 PZAS",Herramientas,Mangas,SI,Paquete,,, $440.00 ,,,,,,52151600
4046012,4046012,"MANGA DESECHABLE 12"" C/100 PZAS",Herramientas,Mangas,SI,Paquete,,, $280.00 ,,,,,,52151500
700894046012,700894046012,"MANGA DESECHABLE 12"" 1PZ",Herramientas,Mangas,SI,Pieza,,, $5.00 ,,,,,,52151500
4046016,4046016,"MANGA DESECHABLE 16"" C/100 PZAS",Herramientas,Mangas,SI,Paquete,,, $380.00 ,,,,,,52151500
700894046016,700894046016,MANGA DES 16 1PZ,Herramientas,Mangas,SI,Pieza,,, $5.00 ,,,,,,52151500
700764043012,700764043012,"MANGA DESECHABLE 12"" C/12 PZAS",Herramientas,Mangas,SI,Paquete,,, $60.00 ,,,,,,52151500
700894043016,700894043016,"MANGA DESECHABLE 16"" C/12 PZAS",Herramientas,Mangas,SI,Paquete,,, $60.00 ,,,,,,52151500
700818121002,700818121002,LIGAS PARA MANGAS C/10 PZAS,Herramientas,Mangas,SI,Pieza,,, $88.00 ,,,,,,52151600
417-173,070896417138,LIGAS PARA MANGA DECORADORA C/12,Herramientas,Mangas,SI,Pieza,,, $163.00 ,,,,,,52151600
417-1186,070896611864,BASE PARA MANGAS,Herramientas,Mangas,SI,Pieza,,, $543.00 ,,,,,,48101817
666661686030,666661686030,MANGA POLIBOLSA CHICA,Herramientas,Mangas,SI,Paquete,,, $120.00 ,,,,,,52151600
DTEM59,DTEM59,MANGAS PASTELERAS POLIPAPEL 100 PZS. CHICA CHERRY,Herramientas,Mangas,SI,Paquete,,, $120.00 ,,,,,,52151600
DTEM151,DTEM151,MANGAS PASTELERAS POLIPAPEL 100 PZS. MEDIANA CHERRY,Herramientas,Mangas,SI,Paquete,,, $145.00 ,,,,,,52151600
DTEM60,DTEM60,MANGAS PASTELERAS POLIPAPEL 100 PZS. GRANDE CHERRY,Herramientas,Mangas,SI,Paquete,,, $165.00 ,,,,,,52151600
52852,1908071528524,VELA ESPIRAL ROJA 12PZ,Velas,Velas,SI,Set,,, $45.00 ,,,,,,39112604
5257,1908071528579,VELA ESPIRAL ROSA 12PZ,Velas,Velas,SI,Set,,, $45.00 ,,,,,,39112604
52858,1908071528586,VELA ESPIRAL ORO 12PZ,Velas,Velas,SI,Set,,, $45.00 ,,,,,,39112604
52548,1908071525486,VELA CORAZON ESPIRAL 4PZ,Velas,Velas,SI,Set,,, $55.00 ,,,,,,39112604
CND000859,4895217105121,VELA ESPIRAL ROSA AZUL MORADO BRILLO12pz,Velas,Velas,SI,Set,,, $20.00 ,,,,,,39112604
CND000860,4895217105138,VELA ESPIRAL ROJA AZUL VERDE BRILLO 12pz,Velas,Velas,SI,Set,,, $20.00 ,,,,,,39112604
CND000944,4895217105985,VELA PLATA 13CM,Velas,Velas,SI,Set,,, $67.00 ,,,,,,39112604
CND000946,4895217106005,VELA ROSA 13CM,Velas,Velas,SI,Set,,, $67.00 ,,,,,,39112604
A60493/A,7501553904935,VELA CARAMELO ESPIRAL AZUL 24PZ,Velas,Velas,SI,Set,,, $22.00 ,,,,,,39112604
60522,7501553905208,VELA CARAMELO ESPIRAL  24PZ,Velas,Velas,SI,Set,,, $22.00 ,,,,,,39112604
8988555509815,8988555509815,VELA PLATEADA 6PZ,Velas,Velas,SI,Pieza,,, $35.00 ,,,,,,90151800
8988555509808,8988555509808,VELA DORADA 6PZ,Velas,Velas,SI,Pieza,,, $35.00 ,,,,,,90151800
CND001343,4895217152101,VELA CHISPEANTE PLATA 16cm 18pz,Velas,Velas,SI,Pieza,,, $55.00 ,,,,,,39112604
CND001342,4895217152095,VELA CHISPEANTE DORADO 16cm 18pz,Velas,Velas,SI,Pieza,,, $55.00 ,,,,,,39112604
CND000943,4895217105978,VELA DORADA 13cm 12pz,Velas,Velas,SI,Set,,, $65.00 ,,,,,,39112604
HGBENG001,HGBENG001,VELA BENGALA CHISPERA,Velas,Velas,SI,Pieza,,, $30.00 ,,,,,,39112600
7501168710907,7501168710907,VELA BENGALA ARCOIRIS,Velas,Velas,SI,Pieza,,, $30.00 ,,,,,,90151800
8204,8204,VELA CHISPA DIAMANTADA PZA,Velas,Velas,SI,Pieza,,, $30.00 ,,,,,,60122100
8146,8146,MINI BENGALA,Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,60122100
704025,704025,VELA BENGALA AZUL OZ,Velas,Velas,SI,Pieza,,, $32.00 ,,,,,,39112600
7506688106568,7506688106568,VELA NUMERO 1 DORADO,Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,60122100
7506688106575,7506688106575,VELA NUMERO 2 DORADO,Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,60122100
7506688106582,7506688106582,VELA NUMERO 3 DORADO,Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,60122100
7506688106599,7506688106599,VELA NUMERO 4 DORADO,Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,60122100
7506688106605,7506688106605,VELA NUMERO 5 DORADO,Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,60122100
7506688106612,7506688106612,VELA NUMERO 6 DORADO,Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,60122100
7506688106629,7506688106629,VELA NUMERO 7 DORADO,Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,60122100
7506688106636,7506688106636,VELA NUMERO 8 DORADO,Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,60122100
7506688106643,7506688106643,VELA NUMERO 9 DORADO,Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,60122100
7506688106551,7506688106551,VELA NUMERO 0 DORADO,Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,60122100
CND000977,4895217106319,VELA CARAMELO ESTRELLA COLORES 6.4cm 8pz,Velas,Velas,SI,Set,,, $27.00 ,,,,,,39112600
CND000865,4895217105183,VELA MAGICA CARAMELO ROJO AZUL VERDE12pz,Velas,Velas,SI,Set,,, $19.00 ,,,,,,39112600
CND000974,4895217106289,VELA CRAYOLA COLORES 8.2cm 10pz,Velas,Velas,SI,Set,,, $32.00 ,,,,,,39112600
CND000862,4895217105152,VELA ESPIRAL COLORES BRILLOS C/BASE 10pz,Velas,Velas,SI,Set,,, $25.00 ,,,,,,39112604
84-128,7501553841285,VELA CARAMELO COLORES C/BASE 24 PZ,Velas,Velas,SI,Set,,, $30.00 ,,,,,,39112604
90151800,A-496,VELAS DE NUMEROS METALIZADA,Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,90151800
60122100 ,A-494,VELAS DE NUMERO,Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,60122100
CND000951,4895217106050,VELA ESPAGUETI ROSA PERLADO 13cm 12pz,Velas,Velas,SI,Set,,, $67.00 ,,,,,,39112604
CND000948,4895217106029,VELA ESPAGUETI DORADA 13cm ,Velas,Velas,SI,Set,,, $67.00 ,,,,,,39112604
CND000990,4895217106449,VELA COMBINADA PLATA Y DORADA 18pz,Velas,Velas,SI,Set,,, $67.00 ,,,,,,39112604
704029,704029,VELA BENGALA PENTACOLOR OZ,Velas,Velas,SI,Pieza,,, $37.00 ,,,,,,12131600
CND001006,4895217107941,VELA DORADA 10.5cm C/BASE 6pz,Velas,Velas,SI,Set,,, $27.00 ,,,,,,39112604
84-063,7501553840639,VELA ESPAGUETI ORO 12 PZAS,Velas,Velas,SI,Set,,, $45.00 ,,,,,,39112604
84-064,7501553840646,VELA ESPAGUETI PLATA 12 PZAS,Velas,Velas,SI,Set,,, $45.00 ,,,,,,39112604
CND00000061,4897080496542,VELA PALILLO UNICORNIO MAKE MAGIC 5 PZ,Velas,Velas,SI,Set,,, $28.00 ,,,,,,39112604
84-046,7501553840462,VELA PALILLO ESTRELLAS PLATEADAS 5 PZAS,Velas,Velas,SI,Set,,, $32.00 ,,,,,,39112604
84-047,7501553840479,VELA PALILLO ESTRELLAS DORADAS 5 PZAS,Velas,Velas,SI,Set,,, $32.00 ,,,,,,39112604
4022,704022,VELA BENGALA DORADA OZ,Velas,Velas,SI,Pieza,,, $32.00 ,,,,,,39112600
4023,704023,VELA BENGALA PLATEADA OZ,Velas,Velas,SI,Pieza,,, $32.00 ,,,,,,39112600
4024,704024,VELA BENGALA ARCOIRIS OZ,Velas,Velas,SI,Pieza,,, $28.00 ,,,,,,39112600
4026,704026,VELA BENGALA REVELACION AZUL OZ,Velas,Velas,SI,Pieza,,, $35.00 ,,,,,,39112600
4027,704027,VELA BENGALA REVELACION ROSA OZ,Velas,Velas,SI,Pieza,,, $35.00 ,,,,,,39112600
281-2410 ,906324624106,"VELA COLORES 2.5"" 24 PZAS",Velas,Velas,SI,Pieza,,, $25.00 ,,,,,,39112600
281-2412 ,906324624124,"VELA MAGICA DE COLORES 2.5"" 10PZ",Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2440 ,906324624403,VELA DORADA #0,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2441 ,906324624418,VELA DORADA #1,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2442 ,906324624427,VELA DORADA #2,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2443 ,906324624431,VELA DORADA #3,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2444 ,906324624442,VELA DORADA #4,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2445 ,906324624459,VELA DORADA #5,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2446 ,906324624468,VELA DORADA #6,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2447 ,906324624479,VELA DORADA #7,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2448 ,906324624483,VELA DORADA #8,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2449 ,906324624497,VELA DORADA #9,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2450  ,906324624505,VELA DORADA ?,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2459 ,906324624591,VELA PLATA ?,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2460 ,906324624607,VELA PLATA #0,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2461 ,906324624614,VELA PLATA #1,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2462 ,906324624629,VELA PLATA #2,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2463 ,906324624631,VELA PLATA #3,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2464 ,906324624642,VELA PLATA #4,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2465 ,906324624654,VELA PLATA #5,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2466 ,906324624663,VELA PLATA #6,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2467 ,906324624672,VELA PLATA #7,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2468 ,906324624681,VELA PLATA #8,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2469 ,906324624697,VELA PLATA #9,Velas,Velas,SI,Pieza,,, $21.00 ,,,,,,39112600
281-2479 ,906324624791,VELA CONFETTI ?,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2480 ,906324624803,VELA CONFETTI #0,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2481 ,906324624816,VELA CONFETTI #1,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2482 ,906324624822,VELA CONFETTI #2,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2483 ,906324624831,VELA CONFETTI #3,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2485 ,906324624856,VELA CONFETTI #5,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2486 ,906324624867,VELA CONFETTI #6,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2487 ,906324624874,VELA CONFETTI #7,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2488 ,906324624882,VELA CONFETTI #8,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2484 ,906324624884,VELA CONFETTI #4,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
281-2489 ,906324624894,VELA CONFETTI #9,Velas,Velas,SI,Pieza,,, $20.00 ,,,,,,39112600
CND000861,4895217105145,VELA ESPIRAL BLANCA BRILLOS C/BASE 10 pz,Velas,Velas,SI,Pieza,,, $22.00 ,,,,,,39112604
4-0085,7501553400857,VELA MENSAJE ESTRELLAS FELIZ CUMPLEÑOS,Velas,Velas,SI,Pieza,,, $39.00 ,,,,,,39112604
CND00000055,4897080495828,VELA PALILLO CARITAS 5 PZ,Velas,Velas,SI,Pieza,,, $33.00 ,,,,,,39112604
TOL000899,4895217107323,ALISADOR FONDANT PLAST 16.5x8cm,Herramientas,Fondant,SI,Pieza,,, $55.00 ,,,,,,48101817
TOL000900,4895217107330,ALISADOR P/FONDANT PLAST 8.5x14.5 cm,Herramientas,Fondant,SI,Pieza,,, $73.00 ,,,,,,48101817
070896033789,070896033789,"RODILLO PARA FONDANT 20""",Herramientas,Fondant,SI,Pieza,,, $853.00 ,,,,,,52151600
PEG001-130,7502246737021,PEGAMENTO FONDANT 130ML,Insumos,Fondant,SI,Pieza,,, $82.00 ,,,,,,50192302
PEG001-030,7502246737014,PEGAMENTO FONDANT 30ML,Insumos,Fondant,SI,Pieza,,, $45.00 ,,,,,,50192302
070896010988,070896010988,HERRRAMIENTAS P/TRABAJAR FONDANT C/3 PZAS,Herramientas,Fondant,SI,Pieza,,, $158.00 ,,,,,,52151600
1812-0866 ,700818120866,HERRAMIENTAS PARA FONDANT C/12 PZAS,Herramientas,Fondant,SI,Pieza,,, $150.00 ,,,,,,52151600
16051,16051,MARCADOR ACOLCHADOS X2 CHERRY,Herramientas,Fondant,SI,Pieza,,, $50.00 ,,,,,,50192300
151007,7501553510075,"FONDANT BLANCO ALEGRIA (1,250g)",Insumos,Fondant,SI,Pieza,,, $225.00 ,,,,,,50161814
BR10-150,7502246738493,BRILLO PARA FONDANT 150 G,Insumos,Fondant,SI,Pieza,,, $110.00 ,,,,,,50192302
FOPA03-1000,7502246732507,FONDANT SABOR NATURAL COLOR BLANCO 1 KG,Insumos,Fondant,SI,Pieza,,, $180.00 ,,,,,,50161813
02374,7508304498033,FONDANT ENCO ROJO 1KG,Insumos,Fondant,SI,Pieza,,, $170.00 ,,,,,,50192300
7502246733313,7502246733313,ENDURECEDOR CMC 100 G MA BAKER,Insumos,Fondant,SI,Pieza,,, $68.00 ,,,,,,50192302
750639473876 3,7506394738763,GLOSS 130 ML (EFECTO CRISTAL),Insumos,Fondant,SI,Pieza,,, $105.00 ,,,,,,50192300
6549,7501553965493,"CORTADOR/FONDANT 3 PZAS ""COPO DE NIE",Cortadores,Fondant,SI,Set,,, $140.00 ,,,,,,52151625
03-3106 ,070896331069,ALISADOR DE GLASEADO,Herramientas,Fondant,SI,Pieza,,, $334.00 ,,,,,,52151600
1812-035 ,11812035,ALMOHADILLA DE ESPUMA,Herramientas,Fondant,SI,Pieza,,, $84.00 ,,,,,,52151600
TC005588,17700588,EXTRUSOR PARA FONDANT,Herramientas,Fondant,SI,Pieza,,, $331.00 ,,,,,,52151600
CTR000459,4895217115564,JGO CORTA PLAST PETALOS P/FORMAR FLOR 4pz,Cortadores,Fondant,SI,Set,,, $54.00 ,,,,,,52151600
CTR000437,4895217115403,JGO CORTA/MARCADOR CENTRO FLORES 6pz,Cortadores,Fondant,SI,Set,,, $40.00 ,,,,,,52151600
CTR000438,4895217115359,JGO CORTADOR PLAST HOJAS 4pz,Cortadores,Fondant,SI,Set,,, $49.00 ,,,,,,52151600
CTR000460,4895217115571,JGO CORTA PLAST FORMADOR FLOR Y HOJA 3pz  0.059,Cortadores,Fondant,SI,Set,,, $50.00 ,,,,,,52151600
1907-1356 ,070896213563,ALISADOR FONDANT,Herramientas,Fondant,SI,Pieza,,, $217.00 ,,,,,,52151600
6666616800603,6666616800603,JUEGO CUCHARAS 3PZ ,Herramientas,Cucharas,SI,Set,,, $75.00 ,,,,,,52151607
1812-3140 ,700818123140,CUCHARAS MEDIDORAS 30-250ML C/5 PZAS,Herramientas,Cucharas,SI,Set,,, $75.00 ,,,,,,52151600
1812-3170,700818123170,CUCHARAS MEDIDORAS 1.25- 5ML C/5 PZAS,Herramientas,Cucharas,SI,Set,,, $52.00 ,,,,,,52151612
TOL00000093,4897080491264,JGO CUCHARA/CUCHARON MEDIDOR COLORES 4PZ,Herramientas,Cucharas,SI,Set,,, $120.00 ,,,,,,52151651
417-1112,070896411129,CUCHARA PARA GALLETA,Herramientas,Cucharas,SI,Pieza,,, $217.00 ,,,,,,52151600
HGH00003,000750114392 017,VOLTEADOR BAMBU,Herramientas,Cucharas,SI,Pieza,,, $40.00 ,,,,,,52151600
HGH00004,000750114392 012,CUCHARA BAMBU,Herramientas,Cucharas,SI,Pieza,,, $40.00 ,,,,,,52151600
04-1006-AZ,04-1006-AZ,CUCHARA HELADO AZUL 56mm/75gr,Herramientas,Cucharas,SI,Pieza,,, $271.00 ,,,,,,52151651
04-1006-N,04-1006-N,CUCHARA HELADO NEGRA 46mm/35gr,Herramientas,Cucharas,SI,Pieza,,, $271.00 ,,,,,,52151651
04-1006-AM,04-1006-AM,CUCHARA HELADO AMARILLA 53mm/55gr,Herramientas,Cucharas,SI,Pieza,,, $271.00 ,,,,,,52151651
04-1006-G,750155310249,CUCHARA HELADO GRIS 68mm/115gr,Herramientas,Cucharas,SI,Pieza,,, $271.00 ,,,,,,52151651
04-1006-P,04-1006-P,CUCHARA HELADO PURPURA 40mm/25 gr,Herramientas,Cucharas,SI,Pieza,,, $271.00 ,,,,,,52151651
04-1006-R,04-1006-R,CUCHARA HELADO ROJA 50mm/50gr,Herramientas,Cucharas,SI,Pieza,,, $271.00 ,,,,,,52151651
TOL000901,4895217107347,CUCHARA PARA DECORAR PLAST 18cm,Herramientas,Cucharas,SI,Pieza,,, $44.00 ,,,,,,48101817
TOL000902,4895217107354,JGO CUCHARA P/DECORAR METAL 22/19cm 2 pz,Herramientas,Cucharas,SI,Set,,, $228.00 ,,,,,,48101817
3-0072,7501553300720,JGO 5 CUCHARAS MED PLAST BLANCA,Herramientas,Cucharas,SI,Set,,, $35.00 ,,,,,,52151651
3-0179,7501553301796,MINI BATIDOR AINOX 13 cm,Herramientas,Batidor,SI,Pieza,,, $47.00 ,,,,,,52151612
4-1125,7501553411259,SET DE CUCHARAS MED 5PZAS,Herramientas,Cucharas,SI,Set,,, $66.00 ,,,,,,52151651
4-1127,7501553411273,SET DE CUCHARAS MED 6PZAS,Herramientas,Cucharas,SI,Set,,, $55.00 ,,,,,,52151651
666661683074,66661683074,CUCHARA HELADO VARIOS,Herramientas,Cucharas,SI,Pieza,,, $271.00 ,,,,,,52151651
4895176108638,4895176108638,CUCHARA PORCION GALLETA,Herramientas,Cucharas,SI,Pieza,,, $150.00 ,,,,,,52152102
04-1006-V,04-1006-V,CUCHARA HELADO VERDE,Herramientas,Cucharas,SI,Pieza,,, $260.00 ,,,,,,52151651
COT000739,4895217141501,BATIDOR GLOBO AINOX 20x4.5cm,Herramientas,Batidor,SI,Pieza,,, $50.00 ,,,,,,52151625
COT000740,4895217141518,MINI BATIDOR GLOBO AINOX 17x2cm,Herramientas,Batidor,SI,Pieza,,, $45.00 ,,,,,,52151625
3-0180,7501553301802,BATIDOR GLOBO AINOX 35 cm,Herramientas,Batidor,SI,Pieza,,, $105.00 ,,,,,,52151612
11521041,11521041,"Batidor Acero Inoxidable Piano 10""  tavola",Herramientas,Batidor,SI,Pieza,,, $80.00 ,,,,,,52151600
11521042,11521042,"Batidor Acero Inoxidable Piano 12""  tavola",Herramientas,Batidor,SI,Pieza,,, $100.00 ,,,,,,52151600
11521043,11521043,"Batidor Acero Inoxidable Piano 14""  tavola",Herramientas,Batidor,SI,Pieza,,, $125.00 ,,,,,,52151600
203-042-00 4,838485009368,VIBE-BATIDOR CH SILI,Herramientas,Batidor,SI,Pieza,,, $140.00 ,,,,,,52151600
2024016860418,2024016860418,BATIDOR GLOBO  MG-41,Herramientas,Batidor,SI,Pieza,,, $150.00 ,,,,,,52151612
COT000954,4895217108481,BATIDOR GLOBO AINOX 5 ALAMB 27cm,Herramientas,Batidor,SI,Pieza,,, $60.00 ,,,,,,52151625
55-025,7501553550255,BATIDOR GLOBO 12 ALAM AINOX (30 cm),Herramientas,Batidor,SI,Pieza,,, $118.00 ,,,,,,52151625
666661688080,666661688080,JUEGO BATIDORA,Herramientas,Batidor,SI,Pieza,,, $150.00 ,,,,,,52151612
TOL000952,4895217108467,BATIDOR GLOBO AINOX 5 ALAMB 20.3cm,Herramientas,Batidor,SI,Pieza,,, $39.00 ,,,,,,52151612
1806,1806,BATIDOR GLOBO METALICO CON LIMPIADOR DE SILICON,Herramientas,Batidor,SI,Pieza,,, $120.00 ,,,,,,52151600
K4112,K4112,BATIDOR GLOBO 12 in ACERO INOXIDABLE,Herramientas,Batidor,SI,Pieza,,, $168.00 ,,,,,,52151600
80041,80041,BATIDOR GLOBO 10 in ACERO INOXIDABLE,Herramientas,Batidor,SI,Pieza,,, $147.00 ,,,,,,52151600
TOL000953,4895217108474,BATIDOR GLOBO AINOX 5 ALAMB 23cm,Herramientas,Batidor,SI,Pieza,,, $40.00 ,,,,,,48101817
PN-12,812944007034,"BATIDOR PIANO 12"" ( 30CM)",Herramientas,Batidor,SI,Pieza,,, $120.00 ,,,,,,52151612
PN-14,812944007041,"BATIDOR PIANO 14"" (35 CM)",Herramientas,Batidor,SI,Pieza,,, $170.00 ,,,,,,52151612
PN-10,PN-10,"BATIDOR PIANO 10"" (25 CM)",Herramientas,Batidor,SI,Pieza,,, $100.00 ,,,,,,52151612
3-0178,7501553301789,"SERIE ""E"" BATIDOR AINOX 25 cm",Herramientas,Batidor,SI,Pieza,,, $75.00 ,,,,,,52151612
6916909000093,6916909000093,BATIDOR GLOBO  YLBC-9,Herramientas,Batidor,SI,Pieza,,, $130.00 ,,,,,,52151612
2024016860319,2024016860319,BATIDOR GLOBO  MG-31,Herramientas,Batidor,SI,Pieza,,, $130.00 ,,,,,,52151612
6916909000093,6916909000093,BATIDOR GLOBO  YLBC-9,Herramientas,Batidor,SI,Pieza,,, $130.00 ,,,,,,52151612
